top,bottom,middle,left,right,current
0,368,0,14,0,0.22
0,398,0,17,0,0.12
0,400,0,17,0,0.32
0,399,0,18,0,0.32
0,398,0,17,0,0.22
0,396,0,17,0,0.27
0,397,0,17,0,0.22
0,400,0,19,0,0.42
0,395,0,17,0,0.27
0,403,0,17,0,0.02
0,401,0,17,0,0.17
0,397,0,17,0,0.22
0,392,0,16,0,0.32
0,389,0,16,0,0.22
0,393,0,16,0,0.27
0,396,0,16,0,0.22
0,288,0,8,0,0.02
0,307,0,10,0,0.17
0,305,0,9,0,0.32
0,389,0,16,0,0.27
0,393,0,17,0,0.46
0,395,0,17,0,0.27
0,394,0,17,0,0.37
0,395,0,17,0,0.32
0,395,0,16,0,0.27
0,395,0,17,0,0.42
0,391,0,16,0,0.22
0,438,0,17,0,0.12
0,473,0,21,0,0.17
0,473,0,21,0,0.07
0,377,0,12,0,0.12
0,466,0,20,0,0.27
0,345,0,11,0,0.27
0,384,0,11,0,0.32
0,346,0,11,0,0.17
0,384,0,14,0,0.37
0,402,0,17,0,0.46
0,404,0,17,0,0.22
0,404,0,17,0,0.07
0,391,0,17,0,0.32
0,389,0,17,0,0.27
0,370,0,14,0,0.22
0,374,0,14,0,0.07
0,380,0,15,0,0.32
0,377,0,15,0,0.22
0,322,0,11,0,0.27
0,364,0,13,0,0.22
0,347,0,11,0,0.27
0,364,0,13,0,0.17
0,385,0,15,0,0.27
0,386,0,15,0,0.37
0,388,0,15,0,0.27
0,388,0,16,0,0.12
0,389,0,16,0,0.22
0,388,0,16,0,0.32
0,388,0,16,0,0.12
0,396,0,16,0,0.22
0,382,0,15,0,0.27
0,378,0,16,0,0.17
0,387,0,15,0,0.32
0,380,0,15,0,0.17
0,375,0,12,0,0.17
0,361,0,12,0,0.27
0,325,0,11,0,0.27
0,324,0,11,0,0.17
0,16,0,388,0,0.12
0,16,0,389,0,0.22
0,16,0,388,0,0.32
0,16,0,388,0,0.12
0,16,0,396,0,0.22
0,15,0,382,0,0.27
0,16,0,378,0,0.17
0,15,0,387,0,0.32
0,15,0,380,0,0.17
0,12,0,375,0,0.17
0,12,0,361,0,0.27
0,11,0,325,0,0.27
0,11,0,324,0,0.17
2,167,230,638,0,0.27
0,156,9,595,0,0.37
0,161,141,603,0,0.46
0,165,165,611,0,0.17
0,161,157,599,0,0.37
0,161,156,598,0,0.32
0,165,158,608,0,0.22
0,160,98,583,0,0.42
0,162,145,472,0,0.22
0,636,610,670,0,0.02
0,635,610,670,0,0.02
0,532,580,670,0,0.07
0,641,643,670,0,0.17
0,642,644,670,0,-0.07
0,641,643,669,0,0.12
0,640,642,667,0,0.12
0,640,642,667,0,0.12
0,639,645,670,0,0.17
0,639,627,651,621,0.22
0,617,632,657,619,0.17
0,642,631,657,625,-0.02
0,629,596,659,626,0.12
0,642,631,656,624,0.17
0,641,630,656,623,0.17
0,641,623,648,615,0.02
0,641,626,652,619,0.27
0,641,630,656,623,0.07
0,654,643,670,635,-0.02
0,30,63,511,54,0.22
0,31,65,518,60,0.07
0,31,64,513,56,0.27
0,0,3,222,28,0.32
0,0,3,238,36,0.37
0,0,1,181,17,0.27
0,0,2,201,24,0.22
0,8,24,341,31,0.32
0,13,31,383,34,0.37
0,640,610,656,594,0.12
0,640,608,657,595,0.17
0,640,607,657,597,0.12
0,639,602,654,597,0.12
0,639,601,655,600,0.07
0,639,599,655,601,-0.02
0,639,599,656,606,0.12
0,639,599,658,609,0.07
0,638,602,662,614,0.07
0,638,604,666,620,0.12
0,638,594,655,611,0.22
0,651,599,662,618,0.07
0,638,575,636,594,0.17
0,638,572,633,593,-0.02
0,638,585,646,607,0.17
0,638,590,652,613,0.12
0,638,583,645,607,0.22
0,638,589,651,613,0.27
0,637,580,641,604,0.07
0,637,569,629,593,0.61
0,637,577,638,602,0.81
0,637,572,632,597,0.66
0,637,567,626,590,0.66
0,0,1,43,3,0.27
0,0,1,42,3,0.37
0,0,1,43,3,0.32
0,0,1,42,3,0.37
0,0,1,41,3,0.32
0,0,1,41,3,0.32
0,0,0,40,3,0.32
0,0,1,41,3,0.37
0,0,1,46,4,0.37
0,0,1,44,4,0.32
0,0,2,45,4,0.42
0,0,1,44,4,0.37
0,0,2,45,4,0.37
0,0,1,44,3,0.27
0,0,0,44,4,0.46
0,0,1,44,4,0.42
0,0,2,43,5,0.37
0,1,1,44,4,0.42
0,0,1,44,4,0.42
0,0,1,44,5,0.27
0,1,1,44,3,0.27
0,0,1,45,4,0.22
0,0,1,44,3,0.42
0,0,1,45,3,0.32
0,0,1,47,4,0.32
0,0,2,46,4,0.46
0,0,1,46,3,0.27
0,0,2,44,4,0.42
0,0,0,42,1,0.32
0,0,0,37,0,0.46
0,0,0,37,2,0.37
0,0,1,47,3,0.37
0,0,1,40,3,0.42
0,0,1,41,2,0.37
0,0,1,40,2,0.46
0,0,1,38,2,0.61
0,0,1,40,3,0.42
0,0,0,39,2,0.42
0,0,1,39,2,0.56
0,0,0,35,2,0.51
0,1,0,35,2,0.32
0,0,0,36,2,0.51
0,0,0,35,2,0.61
0,0,0,35,2,0.46
0,0,0,33,2,0.42
0,0,1,36,2,0.46
0,0,1,38,3,0.46
0,0,1,34,2,0.37
0,0,1,43,3,0.27
0,0,1,42,3,0.37
0,0,1,43,3,0.32
0,0,1,42,3,0.37
0,0,1,41,3,0.32
0,0,1,41,3,0.32
0,0,0,40,3,0.32
0,0,1,41,3,0.37
0,0,1,46,4,0.37
0,0,1,44,4,0.32
0,0,2,45,4,0.42
0,0,1,44,4,0.37
0,0,2,45,4,0.37
0,0,1,44,3,0.27
0,0,0,44,4,0.46
0,0,1,44,4,0.42
0,0,2,43,5,0.37
0,1,1,44,4,0.42
0,0,1,44,4,0.42
0,0,1,44,5,0.27
0,1,1,44,3,0.27
0,0,1,45,4,0.22
0,0,1,44,3,0.42
0,0,1,45,3,0.32
0,0,1,47,4,0.32
0,0,2,46,4,0.46
0,0,1,46,3,0.27
0,0,2,44,4,0.42
0,0,0,42,1,0.32
0,0,0,37,0,0.46
0,0,0,37,2,0.37
0,0,1,47,3,0.37
0,0,1,40,3,0.42
0,0,1,41,2,0.37
0,0,1,40,2,0.46
0,0,1,38,2,0.61
0,0,1,40,3,0.42
0,0,0,39,2,0.42
0,0,1,39,2,0.56
0,0,0,35,2,0.51
0,1,0,35,2,0.32
0,0,0,36,2,0.51
0,0,0,35,2,0.61
0,0,0,35,2,0.46
0,0,0,33,2,0.42
0,0,1,36,2,0.46
0,0,1,38,3,0.46
0,0,1,34,2,0.37
0,0,0,11,0,0.27
0,0,0,10,0,0.37
0,0,0,10,0,0.02
0,0,0,10,0,0.37
0,0,0,9,0,0.32
0,0,0,9,0,0.37
0,0,0,9,0,0.42
0,0,0,10,0,0.22
0,0,0,10,0,0.22
